epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9014,1.28261,1.87342,1.61923,0.51396,0.55913,0.52834,0.32836,1.33517,1.78845,1.8878,0.000549205,0.000549205,0.000549205
2,77.9195,1.28225,1.27122,1.56208,0.14891,0.46576,0.18387,0.07432,1.90525,7.01878,2.26176,0.0011046,0.0011046,0.0011046
3,115.145,1.32195,1.31662,1.58269,0.75321,0.54843,0.61775,0.34116,1.75515,1.82759,2.14904,0.00165892,0.00165892,0.00165892
4,152.616,1.33813,1.27157,1.5639,0.60976,0.42239,0.49452,0.25717,1.69315,2.88909,2.0798,0.00166334,0.00166334,0.00166334
5,188.213,1.30603,1.22598,1.53701,0.57844,0.56074,0.59414,0.33704,1.55311,1.87849,1.9224,0.00166049,0.00166049,0.00166049
6,226.226,1.28868,1.17317,1.5325,0.8147,0.66858,0.73313,0.49665,1.2751,1.09992,1.66401,0.00165684,0.00165684,0.00165684
7,264.284,1.24056,1.11121,1.49015,0.87777,0.72465,0.8284,0.54765,1.21217,1.02238,1.62548,0.00165238,0.00165238,0.00165238
8,300.63,1.20449,1.04867,1.47014,0.87199,0.81956,0.88117,0.55911,1.22983,0.97284,1.6098,0.00164713,0.00164713,0.00164713
9,336.389,1.15947,1.00228,1.43279,0.91501,0.78223,0.86329,0.57695,1.20288,0.8777,1.57116,0.00164108,0.00164108,0.00164108
10,372.831,1.13766,0.97545,1.41637,0.9467,0.86462,0.91969,0.63167,1.07005,0.76513,1.45191,0.00163424,0.00163424,0.00163424
11,409.147,1.13572,0.91334,1.40277,0.93504,0.8022,0.88464,0.58946,1.1591,0.81288,1.53569,0.00162661,0.00162661,0.00162661
12,445.619,1.13136,0.91992,1.40606,0.92153,0.87019,0.92463,0.63478,1.03837,0.73761,1.44036,0.00161822,0.00161822,0.00161822
13,484.196,1.11781,0.87822,1.3945,0.95063,0.82653,0.91783,0.63455,1.05094,0.68017,1.44025,0.00160905,0.00160905,0.00160905
14,519.973,1.07613,0.87245,1.36852,0.90568,0.86683,0.92263,0.6315,1.05124,0.6551,1.46572,0.00159913,0.00159913,0.00159913
